Index,Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
137,5,5,768.0,N,789,96500
138,7,5,384.0,Y,1430,170000
139,5,7,1008.0,Y,1143,138000
140,5,6,1090.0,Y,1178,135000
141,5,6,1041.0,Y,1041,124500
142,5,4,1150.0,Y,1150,146000
143,8,5,1100.0,Y,1964,252000
144,6,7,608.0,Y,1132,134000
145,5,6,968.0,Y,968,100000
146,7,5,1673.0,Y,1673,270000
147,5,6,612.0,Y,2601,189000
148,5,7,825.0,Y,825,125000
149,7,5,1845.0,Y,1872,241500
150,8,5,1753.0,Y,1788,236500
151,5,6,1350.0,Y,1328,170000
152,6,5,1032.0,N,1032,108000
153,7,6,813.0,Y,1665,205950
154,8,5,1594.0,Y,1646,275000
155,5,6,1026.0,Y,1691,127000
156,6,7,825.0,Y,1497,157000
157,7,5,980.0,Y,1714,196500
158,6,4,806.0,N,1647,128000
159,4,5,744.0,N,1120,64000
160,5,6,970.0,Y,970,132500
161,5,5,816.0,N,816,110000
162,8,5,1088.0,Y,1959,270000
163,9,5,1652.0,Y,1652,325000
164,6,7,1104.0,Y,1988,227000
165,6,7,714.0,N,2526,136000
166,4,5,600.0,Y,747,79900
167,6,5,768.0,N,790,91000
168,8,6,1686.0,Y,1707,228000
169,5,6,1324.0,Y,1576,223500
170,7,5,910.0,Y,1442,179900
171,6,5,1405.0,Y,1337,177000
172,8,5,1656.0,Y,1656,249700
173,4,5,967.0,Y,1350,146000
174,6,5,992.0,Y,2054,244000
175,8,5,1235.0,Y,1235,214000
176,7,5,856.0,Y,1166,190000
177,5,5,773.0,Y,773,110000
178,6,7,741.0,Y,1521,146500
179,4,6,941.0,Y,1470,135000
180,6,5,848.0,Y,848,140000
181,7,5,728.0,Y,1456,184000
182,6,5,1029.0,Y,1117,107000
183,7,5,1073.0,Y,1073,157000
184,7,5,764.0,Y,1626,155000
185,6,5,1042.0,Y,1042,161000
186,6,6,948.0,Y,948,125000
187,6,5,697.0,Y,1501,165600
188,8,5,1670.0,Y,1670,336820
189,4,7,616.0,N,1273,121000
190,7,5,868.0,Y,1146,187500
191,8,5,1603.0,Y,1575,284000
192,6,5,1362.0,Y,1362,207000
193,6,5,976.0,Y,1012,127500
194,6,7,1010.0,Y,1052,155000
195,5,6,1342.0,Y,1342,125000
196,5,4,1632.0,Y,1632,143000
197,6,6,635.0,Y,1308,175000
198,5,6,912.0,Y,1044,139000
199,7,5,384.0,Y,1474,168500
200,6,5,720.0,Y,1930,149000
